run_id,date,domain,mode,description,command,code_tag,status,cities_done,notes
R001,2026-07-14,pm25,single,"Phase 2 pilot: Beijing Aotizhongxin, all 5 tiers, 5-seed nas_gru, rigor+measured energy","python run_forecast.py single --source pm25 --data-path data/beijing_pm25/PRSA_Data_20130301-20170228 --column Aotizhongxin --with-chronos --with-nas --seeds 42,43,44,45,46 --measure-energy --rigor --out-prefix results/v1/beijing/pilot_beijing_aoti",e14e80a,done,1,"pipeline validated end-to-end: all tiers ran, DM tests + conformal produced, codecarbon energy captured. PILOT: ran at default 14 folds, superseded for canonical citation by R015."
R002,2026-07-14,pm25,cities,"Phase 2 pilot: full OpenAQ city-glob run (data/cities/*.csv, 32 files) -- started as a 2-city smoke test but cities mode globs all files in --data-dir regardless of --manifest (manifest only supplies tier labels); manifest passed was the 2-city subset (Seoul+Nairobi) so tier col is blank/'?' for the other 30 cities","python run_forecast.py cities --source pm25 --data-dir data/cities --manifest results/v1/_configs/pilot_manifest_2city.csv --with-chronos --with-nas --seeds 42,43,44,45,46 --measure-energy --retrain-per-fold --out-prefix results/v1/pm25_panel/pilot_2city",e14e80a,done,29,"29/32 succeeded (Kathmandu/Kolkata/London correctly excluded, matching ANALYSIS_PLAN.md pre-registered exclusion list). DEVIATION: ran with default 14 folds, not pre-registered 6 (see ANALYSIS_PLAN.md Deviations log 2026-07-14) -- pilot only, superseded by R004."
R003,2026-07-14,weather,cities,"Phase 2 pilot: second-domain (2m temperature) mirror of R002, same city set, weather window clipped to each city's PM2.5 usable window per ANALYSIS_PLAN.md D3","python run_forecast.py cities --source weather_csv --data-dir data/weather --pm25-window-dir data/cities_final --manifest cities_manifest.csv --with-chronos --with-nas --seeds 42,43,44,45,46 --measure-energy --retrain-per-fold --out-prefix results/v1/weather_panel/pilot_weather",e14e80a,done,29,"29/32 succeeded. PILOT (14 folds), superseded by R005/R013. ALSO affected by the ffill fabrication bug fixed 2026-07-15 (4 cities' tails fabricated) -- do not cite any weather numbers from this run."
R004,2026-07-14,pm25,cities,"CANONICAL: 29-city PM2.5 panel, pre-registered settings (--folds 6, all 5 tiers, 5-seed nas_gru, measured energy)","python run_forecast.py cities --source pm25 --data-dir data/cities --manifest cities_manifest.csv --with-chronos --with-nas --seeds 42,43,44,45,46 --measure-energy --retrain-per-fold --folds 6 --out-prefix results/v1/pm25_panel/canonical",e14e80a,done,29,"29/32 succeeded (Kathmandu/Kolkata/London excluded). chronos beats specialist on 71% rich / 60% scarce cities (accuracy); mean MASE rich: chronos=0.469 lgbm=0.453, scarce: chronos=0.843 lgbm=0.858. Supersedes R002 pilot numbers -- canonical for PM2.5 domain. CAUTION for abstract: the 71%/60% win-rate is NOT statistically significant (sign test p=0.14, Wilcoxon p=0.33, L-012) -- chronos and lgbm are a statistical TIE on PM2.5; do not write 'chronos beats specialist' without 'not significant'. The significant contrast is weather (lgbm wins, L-023), but that depends on perfect-foresight covariates (R021 ablation)."
R005,2026-07-14,weather,cities,"CANONICAL: 29-city weather panel, pre-registered settings (--folds 6, all 5 tiers, 5-seed nas_gru, measured energy)","python run_forecast.py cities --source weather_csv --data-dir data/weather --pm25-window-dir data/cities_final --manifest cities_manifest.csv --with-chronos --with-nas --seeds 42,43,44,45,46 --measure-energy --retrain-per-fold --folds 6 --out-prefix results/v1/weather_panel/canonical",e14e80a,done,29,"29/32 succeeded. PARTIALLY SUPERSEDED: 4 cities (seoul/berlin/amsterdam/vienna) were corrupted by the weather-loader ffill fabrication bug (see ANALYSIS_PLAN.md Deviations 2026-07-15) and regenerated in R013; the other 25 cities' rows in canonical_cities.csv are from this run and remain valid. Pre-fix headline (lgbm wins both tiers) recomputed after R013."
R006,2026-07-14,pm25,e4_transfer,"CANONICAL: E4 crux experiment -- NAS-GRU pretrained on 14 rich-tier cities, fine-tuned per scarce city (15 cities) at {0,1,10,100}% x 5 seeds, vs zero-shot chronos vs lgbm refit-on-fraction. Headline experiment per ANALYSIS_PLAN.md S8","python e4_transfer.py --manifest cities_manifest.csv --data-dir data/cities_final --pm25-window-dir data/cities_final --source csv --out-prefix results/v1/e4_transfer/canonical_pm25",e14e80a,done,15,"FINDING (corrected 2026-07-15 after significance tests, see analysis/e4_significance.py + L-018): interpretation bucket 4, NOT 3 -- chronos zero-shot (mean MASE 0.843) leads BOTH nas_transfer (0.876-0.915) and lgbm_refit (0.858-0.944) on average at every fraction {0,1,10,100%}, but the lead over nas_transfer is never significant (city-level paired Wilcoxon, Holm-corrected; best raw p=0.048 at frac=0 -> Holm p=0.19). Chronos IS significantly better than lgbm_refit at frac=1%/10% (Holm p<0.01). Per pre-registered matrix: strategy choice statistically indistinguishable at this scale; cost/simplicity decides -- zero-shot FM wins the recommendation on zero training cost. Mid-run bugfix: lgbm_refit fraction->cutoff floor was 1h, below lgbm's 168h lag warmup -> 15/15 cities failed at frac=1%; fixed to WEEK+horizon+10 and backfilled via checkpoint resume. NOTE data-budget asymmetry disclosure in ANALYSIS_PLAN Deviations 2026-07-15."
R007,2026-07-14,pm25,regime,"CANONICAL: cost-decision-rule regime sweep, Beijing Aotizhongxin (primary depth city) per ANALYSIS_PLAN.md S7","python run_forecast.py regime --source pm25 --data-path data/beijing_pm25/PRSA_Data_20130301-20170228 --column Aotizhongxin --with-chronos --with-nas --seeds 42,43,44,45,46 --retrain-per-fold --folds 6 --train-weeks 4,12,26,52,104 --wtp 0,500,1500,5000,20000 --out-prefix results/v1/regime/canonical_beijing_pm25",e14e80a,done,1,"chronos wins nearly every cell (accuracy-first, low-wtp); nas_gru takes over at wtp=20000 for train_weeks>=26; lgbm_direct only wins the extreme cold-start+high-wtp corner (4wk, wtp=20000)"
R008,2026-07-14,pm25,regime,"CANONICAL: cost-decision-rule regime sweep, Seoul PM2.5 (rich-tier) per ANALYSIS_PLAN.md S7","python run_forecast.py regime --source csv --data-path data/cities/seoul.csv --with-chronos --with-nas --seeds 42,43,44,45,46 --retrain-per-fold --folds 6 --train-weeks 4,12,26,52,104 --wtp 0,500,1500,5000,20000 --out-prefix results/v1/regime/canonical_seoul_pm25",e14e80a,done,1,"same broad pattern as Beijing: chronos wins accuracy-first/low-wtp cells; nas_gru takes over at wtp>=5000 once train_weeks>=52; lgbm only wins one corner cell (4wk, wtp=5000)"
R009,2026-07-14,pm25,regime,"CANONICAL: cost-decision-rule regime sweep, Nairobi PM2.5 (scarce-tier) per ANALYSIS_PLAN.md S7","python run_forecast.py regime --source csv --data-path data/cities/nairobi.csv --with-chronos --with-nas --seeds 42,43,44,45,46 --retrain-per-fold --folds 6 --train-weeks 4,12,26,52,104 --wtp 0,500,1500,5000,20000 --out-prefix results/v1/regime/canonical_nairobi_pm25",e14e80a,done,1,"104wk regime skipped (needs 17616h, Nairobi has 13576h usable -- expected for scarce tier). chronos/chronos_cov win low-wtp, lgbm_direct takes some mid-wtp cells, nas_gru wins wtp=20000 across all regimes"
R010,2026-07-14,weather,regime,"CANONICAL (SUPERSEDED by R014): cost-decision-rule regime sweep, Seoul weather domain","python run_forecast.py regime --source weather_csv --data-path data/weather/seoul.csv --pm25-window-dir data/cities_final --with-chronos --with-nas --seeds 42,43,44,45,46 --retrain-per-fold --folds 6 --train-weeks 4,12,26,52,104 --wtp 0,500,1500,5000,20000 --out-prefix results/v1/regime/canonical_seoul_weather",e14e80a,superseded,1,"INVALID: run under the pre-fix weather loader; Seoul's PM2.5 window extends 289h past weather coverage, so the entire 144h test window was ffill-fabricated constant temperature (see ANALYSIS_PLAN.md Deviations 2026-07-15). Regenerated as R014 -- do not cite this run's decision table."
